surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
0.2177398276072474,3.0,0,1,0,0,0,0,9.5
2.145122892793568,3.0,0,1,0,0,0,0,24.9
0.788223888395453,3.0,0,1,0,0,0,0,14.9
-0.0595047626823478,2.0,0,1,0,0,0,0,9.6
0.4803224443719121,3.0,0,1,0,0,0,0,10.9
1.3507105090791511,4.0,0,1,0,0,0,0,14.0
-0.4433818876987105,2.0,0,1,0,0,0,1,4.574000000000001
3.536677470977883,6.0,0,1,0,0,0,0,18.8
-0.5580118625299855,2.0,0,1,0,0,0,0,7.0
0.039130331939912,3.0,0,1,0,0,0,0,8.25
-1.1204984832136835,2.0,0,1,0,0,0,0,2.2
3.661970699281835,4.0,0,1,0,0,0,0,46.0
0.7322418076639001,3.0,0,1,0,0,0,0,14.7
-1.1658173104725595,1.0,0,0,0,0,0,1,3.35
0.1430970532985102,3.0,0,0,0,0,0,0,9.7
2.342393082038088,5.0,0,1,0,0,0,0,17.7
0.1084414795123108,3.0,0,0,0,1,0,0,6.5
-0.2674382053995442,2.0,0,1,0,0,0,0,11.0
-0.925894107337333,2.0,0,0,0,1,0,0,5.399000000000001
-0.624657196734215,2.0,0,0,0,0,0,0,5.1000000000000005
0.0791175324624497,3.0,0,1,0,0,0,1,5.8950000000000005
0.5589639387329031,3.0,0,1,0,0,0,0,12.0
0.5749588189419182,3.0,0,0,0,1,0,0,7.6
-0.3527442331809582,2.0,0,1,0,0,0,0,8.5
-0.7872718121925354,2.0,0,1,0,0,0,0,5.53
-1.5283679285435687,1.0,0,1,0,0,0,0,1.4
1.2174198406706918,3.0,1,1,0,0,0,0,16.0
1.0281470915306796,3.0,0,1,0,0,0,0,14.0
0.0231354517308969,2.0,0,0,0,1,0,0,6.300000000000001
-0.752616238406336,2.0,0,1,0,0,0,0,4.75
-0.5393511689528011,2.0,0,1,0,0,0,0,5.526
-1.2937763521446806,1.0,0,0,0,0,1,0,3.949
-0.0115201220553025,3.0,0,1,0,0,1,0,7.4
0.255061214761616,3.0,0,1,0,0,0,0,10.1
-1.2191335778359431,1.0,0,0,0,0,0,1,3.058
-0.0541731359460094,2.0,0,1,0,0,0,0,8.3
-0.7392871715654901,2.0,0,1,0,0,0,0,5.65
0.2577270281297852,3.0,0,1,0,0,0,0,9.0
